app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_original,steam_deck,real,tags
548230,SPINGUN,2016-11-11,TRUE,TRUE,TRUE,Very Positive,84,66,1.99,TRUE,0,"['Arcade', 'Indie', ""Shoot 'Em Up"", 'Intentionally Awkward Controls', 'Difficult', 'Casual', 'Action', 'Shooter', 'Bullet Hell', 'Minimalist', 'Space', 'Singleplayer', 'Flight', 'Stylized', 'Retro', 'Character Customization', 'Replay Value', 'Fast-Paced', '2D', 'Abstract']"
2118500,Touhou Library Survivors,2022-10-14,TRUE,FALSE,FALSE,Very Positive,88,52,4.99,TRUE,0,"['Action Roguelike', 'Bullet Hell', 'Action', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Casual', 'Action RPG', 'Anime', 'Character Customization', 'Roguelike', '2D', 'Indie', 'Singleplayer', 'Fantasy', 'Faith']"
358830,Good Robot,2016-04-05,TRUE,FALSE,FALSE,Very Positive,89,148,8.99,TRUE,0,"['Action Roguelike', 'Indie', 'Action', 'RPG', ""Shoot 'Em Up"", 'Roguelite', 'Twin Stick Shooter', 'Procedural Generation', 'Dark Humor', 'Funny', 'Illuminati', 'Controller', 'Robots', 'Roguelike', 'Bullet Hell']"
517330,Stellar Interface,2016-11-21,TRUE,TRUE,TRUE,Very Positive,83,161,12.99,TRUE,0,"['Bullet Hell', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Action Roguelike', 'Roguelite', 'Exploration', 'Side Scroller', 'Perma Death', 'Casual', 'Shooter', 'Survival', 'Top-Down', 'Arcade', 'Roguelike', '2D', 'Bullet Time', 'Gun Customization', 'Procedural Generation', 'Linear', 'Action']"
1098280,Mago,2022-06-21,TRUE,FALSE,FALSE,Very Positive,95,437,14.99,TRUE,0,"['Indie', 'Adventure', 'Platformer', 'Pixel Graphics', '2D', 'Retro', 'Funny', 'Great Soundtrack', 'Singleplayer', 'Difficult', 'Action', 'Co-op', 'Cartoony', 'Side Scroller', 'Cartoon', 'Colorful', 'Bullet Hell', 'Multiplayer', 'Local Co-Op', ""Shoot 'Em Up""]"
747910,Disassembly 3D,2017-11-30,TRUE,FALSE,FALSE,Very Positive,82,259,29.99,TRUE,0,"['Simulation', 'Indie', 'Realistic', 'Destruction', 'Physics', 'Puzzle', 'Sandbox', 'Action', 'Building', 'Hidden Object', 'Shooter', 'Bullet Hell', 'Flight', ""Shoot 'Em Up"", '3D', 'Relaxing', 'Transportation', 'Bullet Time', 'Driving', 'Vehicular Combat']"
915130,东方龙隐談 ~ Touhou Chaos of Black Loong,2019-08-15,TRUE,FALSE,FALSE,Very Positive,85,134,9.9,TRUE,1,"['Indie', 'Casual', 'Adventure', 'RPG', 'Bullet Hell', 'Nudity', 'Faith', ""Shoot 'Em Up"", 'Anime']"
1464550,RagingBlasters,2021-01-22,TRUE,FALSE,FALSE,Very Positive,97,80,14.99,TRUE,1,"[""Shoot 'Em Up"", 'Shooter', 'Female Protagonist', 'Action', 'Pixel Graphics', 'Score Attack', 'Retro', 'Local Co-Op', 'Indie', 'Casual', 'Arcade', '2D', 'Singleplayer', 'Space', '1980s', 'Local Multiplayer', ""1990's"", 'Bullet Hell', 'Anime', 'Co-op']"
262240,SUGURI,2014-07-01,TRUE,FALSE,FALSE,Very Positive,89,139,5.99,TRUE,1,"['Anime', 'Bullet Hell', 'Action', 'Indie', ""Shoot 'Em Up"", 'Female Protagonist', 'Great Soundtrack', 'Shooter', 'Difficult', 'Singleplayer', 'Cute', '2D']"
373610,Shoot 1UP,2015-09-23,TRUE,FALSE,FALSE,Very Positive,81,95,3.99,TRUE,1,"['Side Scroller', ""Shoot 'Em Up"", 'Bullet Hell', 'Shooter', 'Arcade', 'Score Attack', '2D', 'Singleplayer', 'Pixel Graphics', 'Sci-fi', 'Action', 'Aliens', 'Retro', 'Co-op', 'Nudity', 'Local Co-Op', 'Soundtrack', 'Sexual Content', 'Short', 'Indie']"
1389270,Don't Crash - The Political Game,2020-08-27,TRUE,TRUE,TRUE,Very Positive,96,91,1.99,TRUE,0,"['Action', 'Adventure', 'Casual', 'Arcade', 'Exploration', 'Shooter', 'Bullet Hell', 'FPS', 'Hero Shooter', 'Looter Shooter', ""Shoot 'Em Up"", '2D', '3D', 'Colorful', 'First-Person', 'Pixel Graphics', 'Survival', 'Atmospheric', 'Comedy', 'Dark Humor']"
316600,QP Shooting - Dangerous!!,2014-11-14,TRUE,FALSE,FALSE,Very Positive,95,355,7.99,TRUE,1,"['Bullet Hell', ""Shoot 'Em Up"", 'Anime', 'Arcade', 'Indie', 'Cute', 'Female Protagonist', 'Singleplayer', 'Family Friendly', 'Shooter', 'Flight', '2D', 'Action', 'Colorful', 'Dog', 'Casual', 'Visual Novel', 'Top-Down', 'Cats', 'Military']"
656740,Cosmonator,2019-01-21,TRUE,FALSE,FALSE,Very Positive,86,73,6.99,TRUE,1,"['Action', 'Indie', 'RPG', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Bullet Hell', 'Top-Down', 'Arcade', 'Sci-fi', 'Shooter', 'Old School', 'Space', 'Early Access', 'Aliens', 'Destruction', 'Action RPG']"
1037590,Neptunia Shooter,2019-05-21,TRUE,FALSE,FALSE,Very Positive,91,537,4.99,TRUE,1,"['Bullet Hell', 'Action', ""Shoot 'Em Up"", 'Pixel Graphics', 'Anime', 'Cute', 'Retro', 'Female Protagonist', '2D', 'Arcade', 'Shooter', 'Side Scroller', 'Difficult', 'Singleplayer']"
1091390,Demonizer,2020-10-30,TRUE,FALSE,TRUE,Positive,94,18,11.99,TRUE,1,"[""Shoot 'Em Up"", 'Top-Down Shooter', 'Bullet Hell', 'Difficult', 'Shooter', 'Arcade', 'Female Protagonist', '2D', 'Top-Down', 'Action', 'Pixel Graphics', 'Colorful', 'Fantasy', 'Magic', 'Medieval', 'Demons', 'Score Attack', 'Retro', 'Singleplayer', 'Indie']"
1177640,ROCKETRON,2020-02-07,TRUE,FALSE,FALSE,Positive,86,46,5.99,TRUE,0,"['Action', 'Indie', 'Metroidvania', 'Side Scroller', 'Platformer', 'Pixel Graphics', 'Singleplayer', '2D', 'Mechs', 'Science', ""Shoot 'Em Up"", 'Shooter', 'Bullet Hell', 'RPG', 'Adventure', 'Puzzle', ""Beat 'em up"", 'Exploration', '2D Platformer', 'Anime']"
729660,Blackout Z: Slaughterhouse Edition,2017-10-20,TRUE,FALSE,FALSE,Very Positive,88,137,0.99,TRUE,0,"['Action', 'Indie', 'Top-Down', 'Top-Down Shooter', 'Zombies', 'Pixel Graphics', '2D', 'Singleplayer', ""Shoot 'Em Up"", 'Gore', 'Horror', 'Twin Stick Shooter', 'Score Attack', 'Replay Value', 'Arcade', 'Difficult', 'GameMaker', 'Adventure', 'Bullet Hell', 'Destruction']"
